Question,Answer,Case
EKG Hypothesis,acs,Case-19
EKG Confidence,55,Case-19
Description Hypothesis,acs,Case-19
Description Confidence,59,Case-19
EKG Hypothesis,acs,Case-17
EKG Confidence,75,Case-17
Description Hypothesis,hyperventilatie,Case-17
Description Confidence,52,Case-17
EKG Hypothesis,acs,Case-16
EKG Confidence,65,Case-16
Description Hypothesis,ap,Case-16
Description Confidence,53,Case-16
EKG Hypothesis,acs,Case-15
EKG Confidence,70,Case-15
Description Hypothesis,acs,Case-15
Description Confidence,80,Case-15
EKG Hypothesis,acs,Case-13
EKG Confidence,71,Case-13
Description Hypothesis,costomyalgeen,Case-13
Description Confidence,51,Case-13
EKG Hypothesis,costomyalgeen,Case-12
EKG Confidence,34,Case-12
Description Hypothesis,acs,Case-12
Description Confidence,37,Case-12
EKG Hypothesis,acs,Case-09
EKG Confidence,38,Case-09
Description Hypothesis,acs,Case-09
Description Confidence,28,Case-09
EKG Hypothesis,acs,Case-08
EKG Confidence,91,Case-08
Description Hypothesis,acs,Case-08
Description Confidence,52,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,90,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,64,Case-07
,,Case-03
EKG Hypothesis,maagklachten,Case-02
EKG Confidence,65,Case-02
Description Hypothesis,maagklachten,Case-02
Description Confidence,57,Case-02
EKG Hypothesis,acs,Case-01
EKG Confidence,90,Case-01
Description Hypothesis,acs,Case-01
Description Confidence,70,Case-01
