Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
2e07c621-4e94-0b56-58c0-0cd6f0aedca2,1977-10-21,,999-23-9492,S99970967,X37169457X,Mr.,Dorsey40,Reichel38,,,M,white,nonhispanic,M,Gardner  Massachusetts  US,592 Gerlach Village Suite 25,Woburn,Massachusetts,Middlesex County,,42.45627263014007,-71.15951809670864,1123535.105,23479.095
e12322cc-dc9b-b9a1-caae-9bcf1534a301,1984-05-16,1987-05-16,999-15-5262,,,,Hyacinth68,Kessler503,,,,black,nonhispanic,F,Brookline  Massachusetts  US,646 Kihn Common,Boston,Massachusetts,Suffolk County,02152,42.41099912097104,-70.9984523931571,10692.486,4607.234
5b6d7cb6-78e7-5b1a-17b9-10be1083948f,2006-08-11,,999-63-5815,,,,María Teresa440,Uribe503,,,,black,hispanic,F,Juarez  Chihuahua  MX,1048 Jakubowski Throughway Unit 72,Revere,Massachusetts,Suffolk County,,42.46443082876401,-70.969464492188,386427.1825,306.00750000000005
f5b27212-4634-e575-3903-1c3e5ead693a,2002-02-11,,999-59-7725,S99911316,X73204885X,Mr.,Pierre431,Moore224,,,,white,nonhispanic,M,Natick  Massachusetts  US,595 Collier Trail Unit 63,Lexington,Massachusetts,Middlesex County,02421,42.495090916498405,-71.23477319646474,515594.74749999994,185.93249999999998
ff7b6567-bd1b-a125-afd4-d01c79e67592,1993-09-11,,999-56-9694,S99956718,X34463827X,Mrs.,Marshall526,Miller503,,Mitchell808,M,white,nonhispanic,F,Falmouth  Massachusetts  US,398 Fadel Quay,Westfield,Massachusetts,Hampden County,,42.170555505946766,-72.81538520890868,809950.0835000001,72290.24650000001
cf038fc9-da94-8699-5935-a45d7f66d9de,1970-12-06,,999-79-3748,S99918183,X51495308X,Mrs.,Ha329,Kris249,,Zieme486,M,white,nonhispanic,F,Dracut  Massachusetts  US,657 Corkery Viaduct,North Seekonk,Massachusetts,Bristol County,,41.879731497088116,-71.37725476469252,1578082.3024999995,127895.2275
1b093072-d89f-fc19-5ba1-4b1d4c8ce7df,1964-07-31,,999-79-1439,S99979945,X8207736X,Mr.,Adam631,Crona259,,,M,asian,nonhispanic,M,Busan  Busan  KR,513 Rowe Row,Nantucket,Massachusetts,Nantucket County,02554,41.25753953161093,-70.05831302310557,1405646.35,797.1299999999999
8a1ce1c4-6de5-85fb-b283-0fc45484b19c,1965-10-19,,999-70-4133,S99972533,X2085507X,Ms.,Jerilyn993,Schaden604,,,S,white,nonhispanic,F,Clinton  Massachusetts  US,778 Goyette Club,Barnstable,Massachusetts,Barnstable County,02655,41.62697914272381,-70.35697184010556,1778898.1034999993,291748.60650000005
6febf8b8-d199-7701-2cb5-90353c1915c1,1955-04-26,,999-74-4947,S99940905,X42280676X,Mrs.,Kelsie51,Wisozk929,,Hickle134,M,white,nonhispanic,F,Norfolk  Massachusetts  US,557 Koelpin Throughway,Sandwich,Massachusetts,Barnstable County,,41.70670013368146,-70.46718895615571,1992323.5715000003,652160.0885
d31d9a2d-9a7e-430a-2676-f0c7e89b0977,1979-03-17,,999-84-3157,S99929930,X69897483X,Ms.,Gerald181,Wuckert783,,,S,white,nonhispanic,F,Easton  Massachusetts  US,689 Johnston Alley Unit 70,Brockton,Massachusetts,Plymouth County,02301,42.12613863041043,-71.07962682759016,1722594.547,79185.433
1a3e00a2-056f-d4e4-c01a-2366ab21f07c,1984-05-16,,999-27-2958,S99996950,X3306387X,Mrs.,Lilly908,Yost751,,Collins926,M,black,nonhispanic,F,Everett  Massachusetts  US,631 Schroeder Mall Suite 56,Boston,Massachusetts,Suffolk County,02210,42.27877004243658,-71.06652148725837,303651.227,248940.03299999997
