Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
9772bbff-f0b1-32d6-8d71-55c6d1052e49,ef58ea08-d883-3957-8300-150554edc8fb,Ana María762 Soto31,F,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,578
5bab7377-c472-3352-9211-95290cd9765e,69176529-fd1f-3b3f-abce-a0a3626769eb,Janette321 Fisher429,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2299
2158aef6-2b9f-3161-a766-50f7084808bc,5e765f2b-e908-3888-9fc7-df2cb87beb58,Chauncey770 Steuber698,M,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,2011
fb3850b2-d9f9-3287-b69c-c55cd928aea4,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Dagny669 Wyman904,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,2348
215335af-5acf-3fd7-b2a5-f34e7e1123bb,e002090d-4e92-300e-b41e-7d1f21dee4c6,Caitlyn56 Medhurst46,F,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2427
666a8319-676c-3de4-bf91-ac7d5b0cfc22,ef6ab57c-ed94-3dbe-9861-812d515918b3,Terrell212 Fadel536,F,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,1473
235e3ce9-e4ef-324f-8471-6ebf833243cc,49318f80-bd8b-3fc7-a096-ac43088b0c12,Bernard308 Carter549,M,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1926
5839ae78-f750-3721-a0be-5abd4f91092f,fbf6180e-b800-3ebe-b91d-93d0288c400e,Jodie811 Wintheiser220,F,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,615
0857eec7-0800-3755-8b68-a1494458bc0b,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Elvin140 Herzog843,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,88
fe62462e-6661-3c68-b1e8-f0bf880ff42f,4bdaa4c2-c664-3089-aee2-7137abbad27f,Delta800 Quigley282,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,1314
32f1a9b9-b9ab-3189-b024-28bd4a6277b2,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Carl856 Halvorson124,M,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,1506
3ac74ed1-380c-397b-b7cf-35ebec847cd1,5d4b9df1-93ae-3bc9-b680-03249990e558,Vicente970 Kilback373,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,1538
